VD編號,道路,位置,道路數,方向,日期,時間,當量,平均速度,平均佔有率,平均車間距,星期
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-01,00:00:00,402.5,47.03255,1.96,133.5,Fri
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-01,01:00:00,237.0,48.069893,1.235,112.96001,Fri
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-01,02:00:00,161.0,49.20562,0.6,107.39,Fri
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-01,03:00:00,107.0,47.44182,0.41500002,84.275,Fri
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-01,04:00:00,87.0,49.05562,0.265,79.6,Fri
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-01,05:00:00,109.0,48.425385,0.41500002,85.625,Fri
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-01,06:00:00,201.0,48.1029,1.0,124.705,Fri
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-01,07:00:00,484.5,44.8272,2.95,124.6,Fri
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-01,08:00:00,1120.5,38.74673,10.205,71.835,Fri
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-01,09:00:00,1109.5,37.162197,10.715,72.31,Fri
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-01,10:00:00,1005.5,39.97482,7.125,81.17,Fri
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-01,11:00:00,921.0,41.008156,6.2,88.555,Fri
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-01,12:00:00,864.5,41.606873,6.225,96.445,Fri
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-01,13:00:00,815.5,41.1604,5.565,94.685,Fri
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-01,14:00:00,869.0,42.5925,5.435,90.695,Fri
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-01,15:00:00,809.4915,41.243294,6.285,100.345,Fri
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-01,16:00:00,886.0,40.635822,5.94,93.1,Fri
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-01,17:00:00,866.5,41.02499,6.62,93.485,Fri
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-01,18:00:00,885.0,39.46841,6.515,85.225006,Fri
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-01,19:00:00,873.9828,40.019444,7.39,87.21,Fri
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-01,20:00:00,937.5,42.655087,5.79,90.255005,Fri
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-01,21:00:00,959.5,42.002327,7.25,93.84,Fri
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-01,22:00:00,966.88983,42.705654,5.88,88.565,Fri
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-01,23:00:00,732.20337,45.2109,4.045,101.8,Fri
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-02,00:00:00,518.0,46.2,2.885,115.615005,Sat
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-02,01:00:00,372.2034,48.908394,1.695,114.71001,Sat
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-02,02:00:00,261.5,47.7907,1.27,114.865005,Sat
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-02,03:00:00,215.0,47.37881,0.99,119.41499,Sat
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-02,04:00:00,182.0,47.29307,0.76,95.6,Sat
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-02,05:00:00,186.5,48.235897,0.83,106.345,Sat
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-02,06:00:00,246.0,47.97941,1.1,140.39,Sat
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-02,07:00:00,328.0,47.737656,1.44,147.025,Sat
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-02,08:00:00,510.0,46.60664,2.6100001,125.395004,Sat
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-02,09:00:00,712.5,44.58302,3.985,105.244995,Sat
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-02,10:00:00,915.5,41.91302,6.185,86.075,Sat
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-02,11:00:00,1071.0,38.43806,8.889999,78.0,Sat
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-02,12:00:00,1096.2373,38.198223,8.74,70.5,Sat
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-02,13:00:00,1166.0,38.97394,8.975,68.665,Sat
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-02,14:00:00,1013.5,40.0322,7.915,80.79,Sat
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-02,15:00:00,1044.4656,40.966198,8.075,77.255,Sat
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-02,16:00:00,947.30505,40.791763,7.11,84.59,Sat
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-02,17:00:00,957.5,40.050655,7.1499996,80.61,Sat
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-02,18:00:00,915.0,39.46092,6.185,91.854996,Sat
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-02,19:00:00,901.31036,41.12124,5.915,90.725,Sat
VSSWC60,成功路3段,成功路3段152號前路燈桿,2,西,2016-04-02,20:00:00,826.0,43.671806,4.775,96.655,Sat
