VD編號,道路,位置,道路數,方向,日期,時間,當量,平均速度,平均佔有率,平均車間距,星期
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-01,00:00:00,219.64285,57.641605,1.0,144.04001,Fri
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-01,01:00:00,126.5,58.200558,0.675,162.5,Fri
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-01,02:00:00,72.5,57.625,0.51,176.25,Fri
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-01,03:00:00,50.35714,56.13149,0.325,200.25,Fri
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-01,04:00:00,35.0,58.71229,0.255,207.17,Fri
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-01,05:00:00,45.0,56.555332,0.32999998,197.66501,Fri
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-01,06:00:00,76.5,57.94829,0.445,183.91501,Fri
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-01,07:00:00,294.0,57.53469,1.335,154.65,Fri
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-01,08:00:00,770.0,52.337563,5.58,114.69,Fri
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-01,09:00:00,937.5,48.518032,7.67,90.384995,Fri
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-01,10:00:00,852.5,49.85176,6.575,99.8,Fri
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-01,11:00:00,861.0,51.283394,5.9049997,98.165,Fri
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-01,12:00:00,923.0,49.796425,7.22,93.365005,Fri
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-01,13:00:00,847.0,53.411243,5.3450003,95.869995,Fri
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-01,14:00:00,922.0,48.71873,5.9849997,93.125,Fri
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-01,15:00:00,1003.9285,46.62947,7.785,80.415,Fri
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-01,16:00:00,946.0,50.16429,6.0699997,93.815,Fri
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-01,17:00:00,924.5,52.35243,6.56,93.75,Fri
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-01,18:00:00,943.0,52.72187,6.225,102.365,Fri
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-01,19:00:00,1007.5,49.30668,7.4,90.035,Fri
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-01,20:00:00,798.0,55.733315,3.8850002,117.475,Fri
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-01,21:00:00,640.1786,54.14002,3.6100001,107.39,Fri
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-01,22:00:00,613.5,56.476765,2.855,115.55,Fri
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-01,23:00:00,459.0,57.148735,2.075,133.565,Fri
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-02,00:00:00,245.0,57.526367,1.105,150.1,Sat
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-02,01:00:00,184.0,58.088696,0.9,142.455,Sat
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-02,02:00:00,103.0,58.156895,0.6,168.29001,Sat
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-02,03:00:00,69.64285,58.63246,0.4,176.17,Sat
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-02,04:00:00,49.0,59.75714,0.29000002,199.75,Sat
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-02,05:00:00,70.5,57.44,0.46500003,179.17,Sat
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-02,06:00:00,86.0,58.521976,0.56,169.20999,Sat
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-02,07:00:00,210.0,58.524284,0.935,154.875,Sat
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-02,08:00:00,366.5,58.391586,1.585,135.29,Sat
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-02,09:00:00,514.2857,57.53121,2.155,116.57,Sat
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-02,10:00:00,620.0,57.955128,2.7199998,101.1,Sat
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-02,11:00:00,739.0,57.10381,3.49,99.625,Sat
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-02,12:00:00,805.0,56.177105,4.05,88.274994,Sat
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-02,13:00:00,643.0,57.218727,2.9099998,106.005005,Sat
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-02,14:00:00,745.5,54.890457,4.135,97.685,Sat
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-02,15:00:00,743.03564,56.08561,3.475,88.515,Sat
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-02,16:00:00,743.0,56.559185,3.67,97.97,Sat
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-02,17:00:00,698.0,55.96875,3.43,96.085,Sat
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-02,18:00:00,777.0,54.528816,4.285,99.765,Sat
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-02,19:00:00,698.5,53.64149,4.1,105.26,Sat
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-02,20:00:00,569.0,55.208145,2.875,119.899994,Sat
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-02,21:00:00,468.21426,56.79895,1.9849999,124.854996,Sat
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-02,22:00:00,490.0,56.84542,2.2350001,127.92,Sat
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-02,23:00:00,419.0,57.679287,1.7850001,136.13501,Sat
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-03,00:00:00,203.0,57.704483,0.96500003,151.875,Sun
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-03,01:00:00,170.0,59.462063,0.75,160.92,Sun
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-03,02:00:00,97.0,57.574844,0.51,180.795,Sun
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-03,03:00:00,53.571426,57.677597,0.36,173.5,Sun
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-03,04:00:00,46.0,58.324345,0.305,201.545,Sun
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-03,05:00:00,55.0,57.05673,0.375,193.41501,Sun
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-03,06:00:00,85.0,58.89635,0.46499997,182.5,Sun
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-03,07:00:00,193.0,58.039017,0.90999997,155.33499,Sun
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-03,08:00:00,282.0,58.63408,1.2249999,150.84,Sun
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-03,09:00:00,399.10712,58.027416,1.73,136.67499,Sun
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-03,10:00:00,493.0,57.791523,2.2,117.240005,Sun
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-03,11:00:00,669.5,57.522373,2.975,107.895004,Sun
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-03,12:00:00,770.5,56.75125,3.7600002,105.275,Sun
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-03,13:00:00,660.5,56.548298,3.23,108.740005,Sun
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-03,14:00:00,705.5,56.70199,3.355,97.56,Sun
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-03,15:00:00,728.5714,54.127083,4.2,94.009995,Sun
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-03,16:00:00,674.0,54.15531,3.87,115.69,Sun
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-03,17:00:00,671.5,55.4066,3.435,103.065,Sun
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-03,18:00:00,707.0,55.402946,3.625,111.244995,Sun
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-03,19:00:00,596.5,55.440487,2.92,109.31,Sun
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-03,20:00:00,530.5,55.611774,2.6100001,119.165,Sun
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-03,21:00:00,513.75,56.596516,2.69,122.75,Sun
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-03,22:00:00,508.5,55.99994,2.575,133.3,Sun
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-03,23:00:00,357.0,57.797226,1.55,153.035,Sun
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-04,00:00:00,241.0,58.008842,1.125,144.63501,Mon
VSPRA60,堤頂大道2段,堤頂大道二段285號前,2,西,2016-04-04,01:00:00,143.5,59.59972,0.725,156.83,Mon
