"VD編號","道路","位置","方向","星期","時段","預測當量","塞車機率"
"VIKQP20","3","仁愛四段-基隆一段往東","U",0,"a",741,"24%"
"VIKQP20","3","仁愛四段-基隆一段往東","U",0,"p",1002,"60%"
"VIKQP20","3","仁愛四段-基隆一段往東","U",1,"a",786,"29%"
"VIKQP20","3","仁愛四段-基隆一段往東","U",1,"p",1055,"64%"
"VIKQP20","3","仁愛四段-基隆一段往東","U",2,"a",826,"34%"
"VIKQP20","3","仁愛四段-基隆一段往東","U",2,"p",1080,"68%"
"VIKQP20","3","仁愛四段-基隆一段往東","U",3,"a",808,"35%"
"VIKQP20","3","仁愛四段-基隆一段往東","U",3,"p",1101,"69%"
"VIKQP20","3","仁愛四段-基隆一段往東","U",4,"a",766,"29%"
"VIKQP20","3","仁愛四段-基隆一段往東","U",4,"p",1118,"70%"
"VIKPW61","2","仁愛路四段-國父紀念館門口旁","W",0,"a",1922,"13%"
"VIKPW61","2","仁愛路四段-國父紀念館門口旁","W",0,"p",2528,"59%"
"VIKPW61","2","仁愛路四段-國父紀念館門口旁","W",1,"a",1988,"14%"
"VIKPW61","2","仁愛路四段-國父紀念館門口旁","W",1,"p",2580,"60%"
"VIKPW61","2","仁愛路四段-國父紀念館門口旁","W",2,"a",2047,"11%"
"VIKPW61","2","仁愛路四段-國父紀念館門口旁","W",2,"p",2627,"76%"
"VIKPW61","2","仁愛路四段-國父紀念館門口旁","W",3,"a",2042,"18%"
"VIKPW61","2","仁愛路四段-國父紀念館門口旁","W",3,"p",2688,"73%"
"VIKPW61","2","仁愛路四段-國父紀念館門口旁","W",4,"a",1924,"12%"
"VIKPW61","2","仁愛路四段-國父紀念館門口旁","W",4,"p",2751,"80%"
"VHKPV60","3","信義五段-光復南-往西","U",0,"a",2599,"52%"
"VHKPV60","3","信義五段-光復南-往西","U",0,"p",2626,"55%"
"VHKPV60","3","信義五段-光復南-往西","U",1,"a",2682,"59%"
"VHKPV60","3","信義五段-光復南-往西","U",1,"p",2551,"49%"
"VHKPV60","3","信義五段-光復南-往西","U",2,"a",2694,"61%"
